time, rfu, kV, uA
0,0.00109754,-4.743,0
0.125,0.001127358,-3.045,0
0.25,0.001121773,-4.155,0
0.375,0.001131325,-2.184,0
0.5,0.001122745,-5.169,0
0.625,0.001127974,-2.764,0
0.751,0.001130402,-4.625,0
0.876,0.001116205,-2.698,0
1.001,0.001110409,-3.858,0
1.126,0.001131746,-2.174,0
1.251,0.001128799,-4.599,0
1.376,0.001117548,-2.482,0
1.501,0.001131066,-5.126,0
1.626,0.001129333,-1.898,0
1.751,0.00113385,-3.979,0
1.876,0.001104824,-1.7,0
2.002,0.001118503,-4.03,0
2.127,0.001125157,-1.849,0
2.252,0.001120478,-4.433,0
2.377,0.001121336,-1.558,0
2.502,0.001135857,-3.44,0
2.627,0.001105423,-2.034,0
2.752,0.001117419,-3.879,0
2.877,0.001118503,-1.682,0
3.002,0.00111423,-4.051,0
3.127,0.001131066,-1.595,0
3.252,0.00110552,-3.806,0
3.378,0.001117645,-1.987,0
3.503,0.001105488,-3.93,0
3.628,0.00111274,-1.836,0
3.753,0.001131373,-4.114,0
3.878,0.001130013,-1.739,0
4.003,0.001121984,-3.945,0
4.128,0.00111941,-2.953,0
4.253,0.001113582,-4.341,0
4.378,0.001136699,-2.549,0
4.503,0.001122939,-3.558,0
4.628,0.001113922,-2.567,0
4.754,0.001145603,-3.454,0
4.879,0.001125076,-2.242,0
5.004,0.00112357,-3.858,0
5.129,0.001114618,-2.784,0
5.254,0.00112561,-4.394,0
5.379,0.001120624,-2.299,0
5.504,0.001147594,-4.55,0
5.629,0.001134077,-2.607,0
5.754,0.001141248,-5.068,0
5.879,0.001136505,-2.962,0
6.005,0.001122016,-4.719,0
6.13,0.001122631,-2.405,0
6.255,0.001123295,-3.07,0
6.38,0.001149358,-2.753,0
6.505,0.001126339,-3.035,0
6.63,0.001119604,-1.982,0
6.755,0.001133818,-3.647,0
6.88,0.001141782,-2.505,0
7.005,0.001131049,-4.47,0
7.13,0.001114505,-2.428,0
7.255,0.001117532,-3.552,0
7.381,0.001128346,-2.69,0
7.506,0.001117419,-3.843,0
7.631,0.001131001,-3.085,0
7.756,0.001150103,-4.001,0
7.881,0.001120802,-2.141,0
8.006,0.001125303,-4.285,0
8.131,0.00113364,-2.162,0
8.256,0.001115039,-4.945,0
8.381,0.001139775,-2.494,0
8.506,0.001135857,-4.656,0
8.631,0.001126387,-2.195,0
8.757,0.001124299,-4.476,0
8.882,0.001128119,-3.538,0
9.007,0.001098041,-4.301,0
9.132,0.001112546,-2.943,0
9.257,0.001118277,-4.24,0
9.382,0.001122939,-2.576,0
9.507,0.001128087,-3.971,0
9.632,0.001130677,-2.885,0
9.757,0.001129771,-4.679,0
9.882,0.00113024,-2.342,0
10.008,0.001131341,-4.568,0
10.133,0.001138674,-2.33,0
10.258,0.00113283,-4.402,0
10.383,0.001143077,-2.271,0
10.508,0.001130661,-4.615,0
10.633,0.001146882,-2.32,0
10.758,0.001137638,-4.58,0
10.883,0.001138431,-2.434,0
11.008,0.001126258,-4.408,0
11.133,0.001142802,-2.178,0
11.258,0.001139985,-4.619,0
11.384,0.001138172,-2.948,0
11.509,0.001122696,-4.463,0
11.634,0.001113453,-2.168,0
11.759,0.001145878,-4.041,0
11.884,0.001125691,-2.698,0
12.009,0.001131422,-4.478,0
12.134,0.001116771,-2.412,0
12.259,0.001136003,-4.741,0
12.384,0.001137088,-2.314,0
12.509,0.001131244,-4.394,0
12.635,0.001135954,-3.571,0
12.76,0.001137638,-4.695,0
12.885,0.00112629,-3.328,0
13.01,0.001132199,-4.758,0
13.135,0.001132976,-2.338,0
13.26,0.001128848,-4.602,0
13.385,0.001142818,-2.839,0
13.51,0.001129204,-5.684,0
13.635,0.001142495,-2.751,0
13.76,0.001121838,-5.609,0
13.885,0.001129576,-3.142,0
14.011,0.001129819,-4.437,0
14.136,0.001127585,-3.211,0
14.261,0.001139289,-4.822,0
14.386,0.001128216,-3.417,0
14.511,0.001129091,-5,0
14.636,0.001114893,-3.021,0
14.761,0.001123587,-4.877,0
14.886,0.001130871,-2.905,0
15.011,0.001121223,-5.121,0
15.136,0.001131066,-3.295,0
15.261,0.001127779,-4.756,0
15.387,0.001141459,-2.792,0
15.512,0.001134757,-5.456,0
15.637,0.001129155,-3.227,0
15.762,0.001125513,-4.983,0
15.887,0.001136553,-3.396,0
16.012,0.00112132,7498.19,0
16.137,0.001101457,9484.012,0
16.262,0.001091388,9484.734,0
16.387,0.0010904,9556.053,0
16.512,0.001101182,9577.896,0
16.638,0.001100567,9580.563,0
16.763,0.001117467,9578.547,0
16.888,0.001098365,9580.849,0
17.013,0.001110393,9578.641,0
17.138,0.001099725,9581.135,0
17.263,0.001105893,9578.624,0
17.388,0.001093962,9581.255,0
17.513,0.001098851,9578.714,0
17.638,0.001094367,9581.474,0
17.763,0.001109956,9578.749,0
17.888,0.00108352,9581.36,0
18.014,0.001104193,9578.734,0
18.139,0.00111206,9581.562,0
18.264,0.00109877,9578.714,0
18.389,0.001095629,9581.552,0
18.514,0.00111198,9578.869,0
18.639,0.001101651,9581.489,0
18.764,0.001105957,9578.858,0
18.889,0.00110858,9581.576,0
19.014,0.001115881,9578.849,0
19.139,0.001102768,9581.496,0
19.265,0.001103432,9578.902,0
19.39,0.001090692,9581.609,0
19.515,0.001095322,9578.911,0
19.64,0.001087454,9581.636,0
19.765,0.001104452,9578.83,0
19.89,0.001093331,9581.651,0
20.015,0.001107738,9578.865,0
20.14,0.001091469,9581.658,0
20.265,0.001095386,9578.849,0
20.39,0.001086305,9581.642,0
20.515,0.001097475,9578.904,0
20.641,0.001084735,9581.632,0
20.766,0.001096439,9578.865,0
20.891,0.001089996,9581.736,0
21.016,0.001103918,9578.877,0
21.141,0.001088879,9581.795,0
21.266,0.001092019,9578.825,0
21.391,0.001089186,9581.726,0
21.516,0.001089801,9578.861,0
21.641,0.001101133,9581.869,0
21.766,0.001092181,9578.534,0
21.891,0.001102137,9582.059,0
22.017,0.001095273,9578.786,0
22.142,0.001098689,9581.916,0
22.267,0.001097588,9578.687,0
22.392,0.001107026,9581.971,0
22.517,0.001115104,9578.644,0
22.642,0.001102768,9582.077,0
22.767,0.001109551,9578.729,0
22.892,0.001085447,9581.919,0
23.017,0.001100372,9578.745,0
23.142,0.00109673,9581.987,0
23.268,0.001121935,9578.726,0
23.393,0.001107754,9581.992,0
23.518,0.001109195,9578.736,0
23.643,0.001104209,9581.963,0
23.768,0.001089364,9578.723,0
23.893,0.001104614,9581.907,0
24.018,0.001105197,9578.768,0
24.143,0.001105763,9582.053,0
24.268,0.001101684,9578.722,0
24.393,0.001103545,9581.935,0
24.518,0.001097313,9578.657,0
24.644,0.001086839,9582.084,0
24.769,0.001116302,9578.549,0
24.894,0.001097766,9582.189,0
25.019,0.001111526,9578.628,0
25.144,0.001114667,9582.191,0
25.269,0.001119685,9578.557,0
25.394,0.001063884,9582.205,0
25.519,0.001086661,9578.581,0
25.644,0.001092197,9582.157,0
25.769,0.001113582,9578.54,0
25.894,0.001083796,9582.246,0
26.02,0.001087098,9578.482,0
26.145,0.001092537,9582.303,0
26.27,0.001101635,9578.579,0
26.395,0.001086531,9582.237,0
26.52,0.001092715,9578.548,0
26.645,0.001068044,9582.091,0
26.77,0.001113841,9578.691,0
26.895,0.001095354,9582.145,0
27.02,0.001098851,9578.568,0
27.145,0.00107596,9582.201,0
27.271,0.001100583,9578.673,0
27.396,0.001075119,9582.173,0
27.521,0.001094156,9578.625,0
27.646,0.001093962,9582.133,0
27.771,0.00109911,9578.48,0
27.896,0.001083731,9582.278,0
28.021,0.001109988,9578.64,0
28.146,0.001091113,9582.138,0
28.271,0.001120624,9578.591,0
28.396,0.001108645,9582.128,0
28.521,0.001110053,9578.674,0
28.647,0.001083423,9582.015,0
28.772,0.00112302,9578.776,0
28.897,0.001095645,9582.06,0
29.022,0.001108985,9578.831,0
29.147,0.00108883,9582.007,0
29.272,0.001112271,9578.756,0
29.397,0.001103513,9582.009,0
29.522,0.001139354,9578.784,0
29.647,0.001109373,9581.929,0
29.772,0.001100033,9579.023,0
29.898,0.001085868,9582.01,0
30.023,0.001120446,9578.776,0
30.148,0.001093363,9581.962,0
30.273,0.001111041,9578.81,0
30.398,0.001090643,9582.044,0
30.523,0.001115816,9578.844,0
30.648,0.001091177,9582.084,0
30.773,0.001106573,9578.816,0
30.898,0.001093331,9581.949,0
31.023,0.00109537,9578.921,0
31.148,0.001086111,9582.01,0
31.274,0.001109891,9578.874,0
31.399,0.001083326,9581.922,0
31.524,0.001101489,9578.968,0
31.649,0.001120932,9581.954,0
31.774,0.001113339,9578.958,0
31.899,0.001103707,9581.869,0
32.024,0.00110463,9578.972,0
32.149,0.001094302,9581.795,0
32.274,0.001094221,9579.017,0
32.399,0.001100275,9581.931,0
32.524,0.001123182,9578.829,0
32.65,0.001096455,9581.976,0
32.775,0.0010983,9578.923,0
32.9,0.001095824,9581.931,0
33.025,0.001106216,9578.93,0
33.15,0.001094172,9581.975,0
33.275,0.001102008,9578.994,0
33.4,0.001113987,9581.866,0
33.525,0.001085447,9579.019,0
33.65,0.001085398,9581.902,0
33.775,0.001099935,9578.937,0
33.901,0.001111154,9581.862,0
34.026,0.001096083,9579.086,0
34.151,0.001115298,9581.736,0
34.276,0.001108224,9579.086,0
34.401,0.001096083,9581.84,0
34.526,0.00111028,9579.075,0
34.651,0.001104533,9581.734,0
34.776,0.001121353,9579.178,0
34.901,0.001086515,9581.628,0
35.026,0.001121919,9579.324,0
35.151,0.001101117,9581.645,0
35.277,0.001118779,9579.302,0
35.402,0.001124493,9581.576,0
35.527,0.001120737,9579.334,0
35.652,0.001097734,9581.52,0
35.777,0.00112629,9579.385,0
35.902,0.001080542,9581.629,0
36.027,0.001137314,9579.158,0
36.152,0.001118115,9581.583,0
36.277,0.001102105,9579.397,0
36.402,0.001097507,9581.53,0
36.528,0.001096876,9579.453,0
36.653,0.001084605,9581.5,0
36.778,0.001103222,9579.457,0
36.903,0.001087794,9581.473,0
37.028,0.001111575,9579.374,0
37.153,0.001103238,9581.506,0
37.278,0.001110863,9579.502,0
37.403,0.001100761,9581.506,0
37.528,0.001124024,9579.309,0
37.653,0.001102072,9581.581,0
37.778,0.00110913,9579.456,0
37.904,0.001111591,9581.462,0
38.029,0.001117192,9579.471,0
38.154,0.001099077,9581.439,0
38.279,0.001120543,9579.452,0
38.404,0.001138496,9581.433,0
38.529,0.00113079,9579.519,0
38.654,0.001107447,9581.47,0
38.779,0.001111753,9579.52,0
38.904,0.00110157,9581.372,0
39.029,0.001112918,9579.513,0
39.154,0.001107576,9581.395,0
39.28,0.001111721,9579.613,0
39.405,0.001122016,9581.206,0
39.53,0.001098705,9579.555,0
39.655,0.001108807,9581.457,0
39.78,0.001114327,9579.568,0
39.905,0.001106297,9581.37,0
40.03,0.001124768,9579.511,0
40.155,0.001119556,9581.404,0
40.28,0.001120543,9579.601,0
40.405,0.001096827,9581.343,0
40.531,0.001137104,9579.668,0
40.656,0.00111771,9581.278,0
40.781,0.001108143,9579.604,0
40.906,0.001119329,9581.329,0
41.031,0.001114634,9579.728,0
41.156,0.001111348,9581.148,0
41.281,0.001109406,9579.823,0
41.406,0.001115865,9581.172,0
41.531,0.001116836,9579.725,0
41.656,0.001104501,9581.194,0
41.781,0.001122016,9579.781,0
41.907,0.001104549,9581.068,0
42.032,0.001113469,9579.857,0
42.157,0.001106654,9581.06,0
42.282,0.001123004,9579.874,0
42.407,0.001111526,9581.129,0
42.532,0.001107803,9579.838,0
42.657,0.001121239,9581.048,0
42.782,0.001103238,9579.851,0
42.907,0.001089818,9581.058,0
43.032,0.00110531,9579.912,0
43.157,0.001102056,9580.974,0
43.283,0.001107544,9579.982,0
43.408,0.001101959,9581,0
43.533,0.001104824,9579.939,0
43.658,0.001104954,9580.98,0
43.783,0.00111457,9579.949,0
43.908,0.001092084,9580.994,0
44.033,0.001096293,9579.969,0
44.158,0.001081189,9581.041,0
44.283,0.001103626,9579.93,0
44.408,0.001098009,9580.997,0
44.534,0.00110497,9579.939,0
44.659,0.001113113,9581.004,0
44.784,0.001113938,9579.944,0
44.909,0.001104808,9581.062,0
45.034,0.001099353,9579.783,0
45.159,0.001092845,9581.109,0
45.284,0.001116043,9579.982,0
45.409,0.001083407,9581.014,0
45.534,0.001105245,9580.002,0
45.659,0.001085625,9580.906,0
45.784,0.00109809,9579.96,0
45.91,0.001083974,9580.99,0
46.035,0.001097021,9579.878,0
46.16,0.001109503,9581.111,0
46.285,0.001106459,9579.954,0
46.41,0.00110476,9580.925,0
46.535,0.001094237,9580.032,0
46.66,0.00110157,9580.885,0
46.785,0.001092278,9580.082,0
46.91,0.001106152,9580.879,0
47.035,0.001097426,9580.04,0
47.161,0.001085172,9580.867,0
47.286,0.001109616,9579.948,0
47.411,0.001103513,9581.107,0
47.536,0.001114715,9579.987,0
47.661,0.001104614,9581.014,0
47.786,0.001105472,9579.86,0
47.911,0.001095807,9581.063,0
48.036,0.001107155,9579.942,0
48.161,0.00109864,9581.066,0
48.286,0.001118066,9579.932,0
48.411,0.001116318,9581.016,0
48.537,0.001120948,9579.923,0
48.662,0.001093816,9581.033,0
48.787,0.001121029,9579.889,0
48.912,0.001100081,9581.068,0
49.037,0.00110238,9579.997,0
49.162,0.001114197,9580.909,0
49.287,0.001120948,9580.08,0
49.412,0.001100858,9581.002,0
49.537,0.001117484,9579.812,0
49.662,0.001128475,9581.084,0
49.787,0.001129916,9579.906,0
49.913,0.001103351,9581.107,0
50.038,0.001104727,9579.958,0
50.163,0.001111526,9581,0
50.288,0.001111607,9579.984,0
50.413,0.0011,9581.017,0
50.538,0.001113501,9580.001,0
50.663,0.001121094,9580.894,0
50.788,0.00111342,9580.075,0
50.913,0.001091404,9581.023,0
51.038,0.001120916,9579.978,0
51.164,0.001092829,9580.934,0
51.289,0.001115606,9580.015,0
51.414,0.001101554,9580.953,0
51.539,0.001105974,9579.903,0
51.664,0.001100648,9581.098,0
51.789,0.001104322,9579.77,0
51.914,0.001120996,9581.171,0
52.039,0.001106006,9579.965,0
52.164,0.001095662,9581.054,0
52.289,0.001100567,9579.91,0
52.414,0.001106168,9580.973,0
52.54,0.001115687,9579.984,0
52.665,0.001086726,9580.985,0
52.79,0.001102898,9579.962,0
52.915,0.001114424,9581.164,0
53.04,0.001103966,9579.84,0
53.165,0.001101684,9580.995,0
53.29,0.001099353,9579.936,0
53.415,0.00108454,9581.084,0
53.54,0.001112174,9579.884,0
53.665,0.001088571,9581.167,0
53.791,0.00110123,9579.72,0
53.916,0.00108365,9581.106,0
54.041,0.001103934,9579.894,0
54.166,0.001082565,9581.106,0
54.291,0.001097264,9579.797,0
54.416,0.001089348,9581.188,0
54.541,0.00110994,9579.755,0
54.666,0.00110068,9581.269,0
54.791,0.001110021,9579.716,0
54.916,0.001104484,9581.134,0
55.041,0.00109898,9579.811,0
55.167,0.001093217,9581.243,0
55.292,0.001102267,9579.641,0
55.417,0.001106864,9581.322,0
55.542,0.001097264,9579.722,0
55.667,0.001106799,9581.174,0
55.792,0.001110863,9579.731,0
55.917,0.001103772,9581.343,0
56.042,0.001117969,9579.595,0
56.167,0.001091485,9581.422,0
56.292,0.001099919,9579.583,0
56.417,0.001069534,9581.307,0
56.543,0.00110204,9579.675,0
56.668,0.001094966,9581.348,0
56.793,0.001089235,9579.519,0
56.918,0.001090643,9581.416,0
57.043,0.001098657,9579.478,0
57.168,0.001103319,9581.487,0
57.293,0.001104614,9579.53,0
57.418,0.001101247,9581.428,0
57.543,0.001099547,9579.5,0
57.668,0.001084119,9581.411,0
57.794,0.001107576,9579.554,0
57.919,0.001103011,9581.43,0
58.044,0.00109809,9579.464,0
58.169,0.001087616,9581.379,0
58.294,0.001108418,9579.558,0
58.419,0.001084945,9581.437,0
58.544,0.001091647,9579.463,0
58.669,0.001083779,9581.501,0
58.794,0.001093816,9579.423,0
58.919,0.001093088,9581.542,0
59.044,0.001108612,9579.572,0
59.17,0.001096503,9581.336,0
59.295,0.001101765,9579.634,0
59.42,0.001081011,9581.243,0
59.545,0.001081173,9579.59,0
59.67,0.001085657,9581.479,0
59.795,0.001096503,9579.345,0
59.92,0.001088458,9581.538,0
60.045,0.00110497,9579.574,0
60.17,0.001091938,9581.54,0
60.295,0.001096455,9579.583,0
60.42,0.001090158,9581.303,0
60.546,0.001120397,9579.634,0
60.671,0.001089186,9581.423,0
60.796,0.001101311,9579.573,0
60.921,0.00107473,9581.351,0
61.046,0.001098608,9579.628,0
61.171,0.001109875,9581.402,0
61.296,0.001089623,9579.606,0
61.421,0.001085981,9581.481,0
61.546,0.001108224,9579.518,0
61.671,0.001079813,9581.34,0
61.797,0.001100518,9579.53,0
61.922,0.001093055,9581.476,0
62.047,0.001114262,9579.533,0
62.172,0.001086629,9581.462,0
62.297,0.00109516,9579.543,0
62.422,0.001090595,9581.385,0
62.547,0.001087567,9579.467,0
62.672,0.001075896,9581.564,0
62.797,0.001089688,9579.43,0
62.922,0.001104727,9581.59,0
63.047,0.001118439,9579.391,0
63.173,0.001091728,9581.58,0
63.298,0.001093509,9579.455,0
63.423,0.001096892,9581.496,0
63.548,0.00111546,9579.384,0
63.673,0.001072172,9581.591,0
63.798,0.001097248,9579.457,0
63.923,0.001076495,9581.445,0
64.048,0.001090287,9579.502,0
64.173,0.00107146,9581.524,0
64.298,0.001064256,9579.331,0
64.424,0.001084492,9581.476,0
64.549,0.001093897,9579.554,0
64.674,0.001079376,9581.53,0
64.799,0.001083698,9579.349,0
64.924,0.001092667,9581.627,0
65.049,0.00109571,9579.406,0
65.174,0.001088328,9581.564,0
65.299,0.001095629,9579.385,0
65.424,0.00108726,9581.6,0
65.549,0.001092732,9579.322,0
65.674,0.001100308,9581.631,0
65.8,0.001098673,9579.362,0
65.925,0.001097232,9581.636,0
66.05,0.001110425,9579.421,0
66.175,0.001096843,9581.527,0
66.3,0.001095969,9579.294,0
66.425,0.001109632,9581.675,0
66.55,0.001112935,9579.357,0
66.675,0.001086612,9581.615,0
66.8,0.001092667,9579.374,0
66.925,0.001085528,9581.464,0
67.05,0.001095063,9579.402,0
67.176,0.001100113,9581.645,0
67.301,0.001101927,9579.22,0
67.426,0.001094059,9581.691,0
67.551,0.001095694,9579.404,0
67.676,0.001085317,9581.493,0
67.801,0.001093201,9579.416,0
67.926,0.001082063,9581.705,0
68.051,0.001106864,9579.277,0
68.176,0.001087681,9581.689,0
68.301,0.001091485,9579.333,0
68.427,0.001096277,9581.62,0
68.552,0.001109438,9579.247,0
68.677,0.001076446,9581.645,0
68.802,0.001085609,9579.435,0
68.927,0.001090125,9581.501,0
69.052,0.001086969,9579.46,0
69.177,0.001086839,9581.615,0
69.302,0.001104306,9579.303,0
69.427,0.001084637,9581.697,0
69.552,0.001108952,9579.29,0
69.677,0.001123311,9581.675,0
69.803,0.001102396,9579.226,0
69.928,0.001091517,9581.692,0
70.053,0.001084556,9579.261,0
70.178,0.001092715,9581.698,0
70.303,0.001107333,9579.415,0
70.428,0.001104484,9581.591,0
70.553,0.001105569,9579.221,0
70.678,0.001087924,9581.755,0
70.803,0.001094512,9579.216,0
70.928,0.001098122,9581.733,0
71.054,0.001091307,9579.323,0
71.179,0.001084864,9581.698,0
71.304,0.001106815,9579.182,0
71.429,0.001078923,9581.687,0
71.554,0.001091016,9579.246,0
71.679,0.001085317,9581.697,0
71.804,0.001112449,9579.208,0
71.929,0.001100502,9581.809,0
72.054,0.001110555,9579.149,0
72.179,0.00109257,9581.714,0
72.304,0.001111235,9579.279,0
72.43,0.001099158,9581.767,0
72.555,0.001088458,9579.145,0
72.68,0.001089397,9581.721,0
72.805,0.001085835,9579.336,0
72.93,0.001089235,9581.741,0
73.055,0.001115136,9579.146,0
73.18,0.001097459,9581.816,0
73.305,0.001117144,9579.167,0
73.43,0.00110238,9581.813,0
73.555,0.001094075,9579.25,0
73.68,0.001108337,9581.587,0
73.806,0.001095872,9579.33,0
73.931,0.001102024,9581.771,0
74.056,0.001115784,9579.282,0
74.181,0.001085188,9581.586,0
74.306,0.001098867,9579.421,0
74.431,0.001088895,9581.587,0
74.556,0.001109438,9579.28,0
74.681,0.001102105,9581.754,0
74.806,0.001093751,9579.247,0
74.931,0.001116852,9581.64,0
75.057,0.00112561,9579.344,0
75.182,0.001090158,9581.704,0
75.307,0.001095225,9579.294,0
75.432,0.001099482,9581.564,0
75.557,0.001088895,9579.319,0
75.682,0.001090077,9581.666,0
75.807,0.001091566,9579.164,0
75.932,0.001084815,9581.751,0
76.057,0.001082484,9579.274,0
76.182,0.001100631,9581.712,0
76.307,0.001101668,9579.276,0
76.433,0.001073419,9581.668,0
76.558,0.001086758,9579.19,0
76.683,0.001060128,9581.738,0
76.808,0.001106216,9579.304,0
76.933,0.001093865,9581.643,0
77.058,0.001107366,9579.297,0
77.183,0.001093638,9581.699,0
77.308,0.001086807,9579.318,0
77.433,0.00108297,9581.748,0
77.558,0.001106427,9579.021,0
77.683,0.00108072,9581.895,0
77.809,0.001104258,9579.199,0
77.934,0.001083245,9581.832,0
78.059,0.001100308,9579.174,0
78.184,0.001076511,9581.754,0
78.309,0.001099272,9579.144,0
78.434,0.00108318,9581.864,0
78.559,0.001102331,9579.171,0
78.684,0.001082112,9581.657,0
78.809,0.001098754,9579.33,0
78.934,0.00107868,9581.758,0
79.06,0.001084605,9579.186,0
79.185,0.001089607,9581.817,0
79.31,0.001098365,9579.21,0
79.435,0.001087406,9581.639,0
79.56,0.001093784,9579.248,0
79.685,0.001090206,9581.786,0
79.81,0.001125092,9579.215,0
79.935,0.001086483,9581.811,0
80.06,0.001101846,9579.157,0
80.185,0.001103222,9581.68,0
80.31,0.001104549,9579.215,0
80.436,0.001072156,9581.769,0
80.561,0.001099385,9579.208,0
80.686,0.001085091,9581.7,0
80.811,0.00109155,9579.262,0
80.936,0.001093444,9581.675,0
81.061,0.0010955,9579.192,0
81.186,0.001082144,9581.822,0
81.311,0.001126015,9579.199,0
81.436,0.001095192,9581.671,0
81.561,0.001097426,9579.304,0
81.687,0.001108272,9581.815,0
81.812,0.001117322,9579.14,0
81.937,0.001081837,9581.725,0
82.062,0.001082452,9579.224,0
82.187,0.00109019,9581.684,0
82.312,0.001092327,9579.246,0
82.437,0.001086531,9581.803,0
82.562,0.001092197,9579.007,0
82.687,0.001088345,9581.951,0
82.812,0.001105909,9579.121,0
82.937,0.001082954,9581.708,0
83.063,0.00110013,9579.334,0
83.188,0.001085528,9581.764,0
83.313,0.001098009,9579.157,0
83.438,0.001081189,9581.687,0
83.563,0.001087713,9579.173,0
83.688,0.001094998,9581.888,0
83.813,0.001079894,9579.115,0
83.938,0.001092651,9581.891,0
84.063,0.001079085,9579.165,0
84.188,0.001076559,9581.771,0
84.313,0.001096876,9579.195,0
84.439,0.001104889,9581.83,0
84.564,0.001105391,9579.166,0
84.689,0.001091647,9581.814,0
